Lower layer Super Output Areas Code,Tenure of household (7 categories),Observation
E01000098,Owned: Owns outright,100
E01000098,Owned: Owns with a mortgage or loan or shared ownership,188
E01000098,Social rented: Rents from council or Local Authority,172
E01000098,Social rented: Other social rented,21
E01000098,Private rented: Private landlord or letting agency,134
E01000098,Private rented: Other private rented or lives rent free,9
E01000099,Does not apply,0
E01000099,Owned: Owns outright,117
E01000099,Owned: Owns with a mortgage or loan or shared ownership,337
E01000099,Social rented: Rents from council or Local Authority,162
E01000099,Social rented: Other social rented,95
E01000099,Private rented: Private landlord or letting agency,207
E01000099,Private rented: Other private rented or lives rent free,15
E01000100,Does not apply,0
E01000100,Owned: Owns outright,82
E01000100,Owned: Owns with a mortgage or loan or shared ownership,183
