Lower layer Super Output Areas Code,Tenure of household (7 categories),Observation
E01002573,Owned: Owns outright,231
E01002573,Owned: Owns with a mortgage or loan or shared ownership,163
E01002573,Social rented: Rents from council or Local Authority,16
E01002573,Social rented: Other social rented,56
E01002573,Private rented: Private landlord or letting agency,163
E01002573,Private rented: Other private rented or lives rent free,9
E01002574,Does not apply,0
E01002574,Owned: Owns outright,175
E01002574,Owned: Owns with a mortgage or loan or shared ownership,181
E01002574,Social rented: Rents from council or Local Authority,63
E01002574,Social rented: Other social rented,36
E01002574,Private rented: Private landlord or letting agency,205
E01002574,Private rented: Other private rented or lives rent free,24
E01002575,Does not apply,0
E01002575,Owned: Owns outright,215
E01002575,Owned: Owns with a mortgage or loan or shared ownership,175
E01002575,Social rented: Rents from council or Local Authority,46
E01002575,Social rented: Other social rented,12
E01002575,Private rented: Private landlord or letting agency,204
E01002575,Private rented: Other private rented or lives rent free,13
E01002576,Does not apply,0
E01002576,Owned: Owns outright,147
E01002576,Owned: Owns with a mortgage or loan or shared ownership,175
E01002576,Social rented: Rents from council or Local Authority,149
E01002576,Social rented: Other social rented,87
E01002576,Private rented: Private landlord or letting agency,132
E01002576,Private rented: Other private rented or lives rent free,15
E01002577,Does not apply,0
E01002577,Owned: Owns outright,187
E01002577,Owned: Owns with a mortgage or loan or shared ownership,197
E01002577,Social rented: Rents from council or Local Authority,39
E01002577,Social rented: Other social rented,21
E01002577,Private rented: Private landlord or letting agency,216
E01002577,Private rented: Other private rented or lives rent free,19
E01002578,Does not apply,0
E01002578,Owned: Owns outright,188
E01002578,Owned: Owns with a mortgage or loan or shared ownership,199
E01002578,Social rented: Rents from council or Local Authority,47
E01002578,Social rented: Other social rented,35
E01002578,Private rented: Private landlord or letting agency,105
E01002578,Private rented: Other private rented or lives rent free,16
E01002579,Does not apply,0
E01002579,Owned: Owns outright,267
E01002579,Owned: Owns with a mortgage or loan or shared ownership,215
E01002579,Social rented: Rents from council or Local Authority,83
E01002579,Social rented: Other social rented,11
E01002579,Private rented: Private landlord or letting agency,164
E01002579,Private rented: Other private rented or lives rent free,31
E01002580,Does not apply,0
E01002580,Owned: Owns outright,95
E01002580,Owned: Owns with a mortgage or loan or shared ownership,137
E01002580,Social rented: Rents from council or Local Authority,73
E01002580,Social rented: Other social rented,122
E01002580,Private rented: Private landlord or letting agency,246
E01002580,Private rented: Other private rented or lives rent free,7
E01002581,Does not apply,0
E01002581,Owned: Owns outright,192
E01002581,Owned: Owns with a mortgage or loan or shared ownership,252
E01002581,Social rented: Rents from council or Local Authority,41
E01002581,Social rented: Other social rented,16
E01002581,Private rented: Private landlord or letting agency,314
E01002581,Private rented: Other private rented or lives rent free,23
E01002582,Does not apply,0
E01002582,Owned: Owns outright,224
E01002582,Owned: Owns with a mortgage or loan or shared ownership,259
E01002582,Social rented: Rents from council or Local Authority,51
E01002582,Social rented: Other social rented,13
E01002582,Private rented: Private landlord or letting agency,135
E01002582,Private rented: Other private rented or lives rent free,12
E01002583,Does not apply,0
E01002583,Owned: Owns outright,146
E01002583,Owned: Owns with a mortgage or loan or shared ownership,138
E01002583,Social rented: Rents from council or Local Authority,15
E01002583,Social rented: Other social rented,26
E01002583,Private rented: Private landlord or letting agency,198
E01002583,Private rented: Other private rented or lives rent free,12
E01002584,Does not apply,0
E01002584,Owned: Owns outright,143
E01002584,Owned: Owns with a mortgage or loan or shared ownership,111
E01002584,Social rented: Rents from council or Local Authority,14
E01002584,Social rented: Other social rented,5
E01002584,Private rented: Private landlord or letting agency,338
E01002584,Private rented: Other private rented or lives rent free,24
E01002585,Does not apply,0
E01002585,Owned: Owns outright,115
E01002585,Owned: Owns with a mortgage or loan or shared ownership,116
E01002585,Social rented: Rents from council or Local Authority,107
E01002585,Social rented: Other social rented,5
E01002585,Private rented: Private landlord or letting agency,166
E01002585,Private rented: Other private rented or lives rent free,15
E01002586,Does not apply,0
E01002586,Owned: Owns outright,171
E01002586,Owned: Owns with a mortgage or loan or shared ownership,97
E01002586,Social rented: Rents from council or Local Authority,8
E01002586,Social rented: Other social rented,1
E01002586,Private rented: Private landlord or letting agency,206
E01002586,Private rented: Other private rented or lives rent free,16
E01002587,Does not apply,0
E01002587,Owned: Owns outright,214
E01002587,Owned: Owns with a mortgage or loan or shared ownership,117
E01002587,Social rented: Rents from council or Local Authority,74
E01002587,Social rented: Other social rented,64
E01002587,Private rented: Private landlord or letting agency,256
E01002587,Private rented: Other private rented or lives rent free,14
E01002588,Does not apply,0
E01002588,Owned: Owns outright,32
E01002588,Owned: Owns with a mortgage or loan or shared ownership,66
E01002588,Social rented: Rents from council or Local Authority,62
E01002588,Social rented: Other social rented,477
E01002588,Private rented: Private landlord or letting agency,87
E01002588,Private rented: Other private rented or lives rent free,21
E01002589,Does not apply,0
E01002589,Owned: Owns outright,94
E01002589,Owned: Owns with a mortgage or loan or shared ownership,177
E01002589,Social rented: Rents from council or Local Authority,239
E01002589,Social rented: Other social rented,29
E01002589,Private rented: Private landlord or letting agency,192
E01002589,Private rented: Other private rented or lives rent free,84
E01002590,Does not apply,0
E01002590,Owned: Owns outright,171
E01002590,Owned: Owns with a mortgage or loan or shared ownership,252
E01002590,Social rented: Rents from council or Local Authority,271
E01002590,Social rented: Other social rented,69
E01002590,Private rented: Private landlord or letting agency,191
E01002590,Private rented: Other private rented or lives rent free,46
E01002591,Does not apply,0
E01002591,Owned: Owns outright,144
E01002591,Owned: Owns with a mortgage or loan or shared ownership,234
E01002591,Social rented: Rents from council or Local Authority,131
E01002591,Social rented: Other social rented,23
E01002591,Private rented: Private landlord or letting agency,67
E01002591,Private rented: Other private rented or lives rent free,12
E01002592,Does not apply,0
E01002592,Owned: Owns outright,170
E01002592,Owned: Owns with a mortgage or loan or shared ownership,194
E01002592,Social rented: Rents from council or Local Authority,185
E01002592,Social rented: Other social rented,16
E01002592,Private rented: Private landlord or letting agency,194
E01002592,Private rented: Other private rented or lives rent free,16
E01002593,Does not apply,0
E01002593,Owned: Owns outright,188
E01002593,Owned: Owns with a mortgage or loan or shared ownership,230
E01002593,Social rented: Rents from council or Local Authority,68
E01002593,Social rented: Other social rented,6
E01002593,Private rented: Private landlord or letting agency,170
E01002593,Private rented: Other private rented or lives rent free,37
E01002594,Does not apply,0
E01002594,Owned: Owns outright,190
E01002594,Owned: Owns with a mortgage or loan or shared ownership,232
E01002594,Social rented: Rents from council or Local Authority,34
E01002594,Social rented: Other social rented,14
E01002594,Private rented: Private landlord or letting agency,161
E01002594,Private rented: Other private rented or lives rent free,16
E01002595,Does not apply,0
E01002595,Owned: Owns outright,140
E01002595,Owned: Owns with a mortgage or loan or shared ownership,193
E01002595,Social rented: Rents from council or Local Authority,213
E01002595,Social rented: Other social rented,38
E01002595,Private rented: Private landlord or letting agency,114
E01002595,Private rented: Other private rented or lives rent free,15
E01002596,Does not apply,0
E01002596,Owned: Owns outright,81
E01002596,Owned: Owns with a mortgage or loan or shared ownership,262
E01002596,Social rented: Rents from council or Local Authority,25
E01002596,Social rented: Other social rented,97
E01002596,Private rented: Private landlord or letting agency,271
E01002596,Private rented: Other private rented or lives rent free,20
E01002598,Does not apply,0
E01002598,Owned: Owns outright,130
E01002598,Owned: Owns with a mortgage or loan or shared ownership,206
E01002598,Social rented: Rents from council or Local Authority,130
E01002598,Social rented: Other social rented,44
E01002598,Private rented: Private landlord or letting agency,134
E01002598,Private rented: Other private rented or lives rent free,15
